Time,Open,High,Low,Close,Volume,Date
1581325200000,9893.78,9893.78,9765.15,9835.2,5580.895146,2020-02-10 09:00:00
1581321600000,9967.94,9971.48,9860.88,9892.56,2527.986975,2020-02-10 08:00:00
1581318000000,9956.22,9993.0,9936.96,9968.99,1868.947048,2020-02-10 07:00:00
1581314400000,9836.14,10021.0,9814.82,9955.91,6020.414834,2020-02-10 06:00:00
1581310800000,10055.98,10084.14,9756.0,9835.71,5347.821241,2020-02-10 05:00:00
1581307200000,10090.44,10105.54,10025.2,10055.96,2169.593546,2020-02-10 04:00:00
1581303600000,10120.4,10120.4,10060.0,10090.47,1750.261272,2020-02-10 03:00:00
1581300000000,10133.33,10147.26,10080.0,10120.59,2238.188839,2020-02-10 02:00:00
1581296400000,10184.19,10184.4,10130.0,10133.32,1151.821611,2020-02-10 01:00:00
1581292800000,10151.72,10188.0,10150.0,10184.19,1767.194315,2020-02-10 00:00:00
1581289200000,10126.22,10160.0,10119.78,10151.75,1786.197512,2020-02-09 23:00:00
1581285600000,10084.88,10126.75,10082.78,10126.17,968.867279,2020-02-09 22:00:00
1581282000000,10064.35,10095.0,10059.53,10084.98,784.649837,2020-02-09 21:00:00
1581278400000,10074.85,10088.12,10053.0,10064.3,1256.426741,2020-02-09 20:00:00
1581274800000,10078.36,10098.16,10069.96,10074.85,585.453728,2020-02-09 19:00:00
1581271200000,10090.98,10093.46,10053.69,10078.3,1321.397831,2020-02-09 18:00:00
1581267600000,10112.04,10119.0,10075.32,10090.42,1431.706234,2020-02-09 17:00:00
1581264000000,10097.1,10125.79,10072.16,10112.03,1927.641024,2020-02-09 16:00:00
1581260400000,10084.43,10125.3,10000.1,10097.1,3323.032084,2020-02-09 15:00:00
1581256800000,10099.15,10118.44,10060.0,10084.35,1771.297071,2020-02-09 14:00:00
1581253200000,10126.5,10140.01,10089.05,10098.36,1433.53092,2020-02-09 13:00:00
1581249600000,10108.61,10145.64,10108.61,10126.5,1269.374331,2020-02-09 12:00:00
1581246000000,10121.59,10134.0,10100.0,10109.52,1270.85953,2020-02-09 11:00:00
1581242400000,10075.01,10126.16,10050.0,10121.59,2019.198997,2020-02-09 10:00:00
1581238800000,10110.93,10141.05,10075.0,10075.0,2375.396706,2020-02-09 09:00:00
1581235200000,10127.87,10151.04,10086.43,10110.93,2584.184379,2020-02-09 08:00:00
1581231600000,10096.98,10166.0,10094.87,10127.87,2172.567677,2020-02-09 07:00:00
1581228000000,10099.99,10123.1,10088.12,10096.76,1762.370825,2020-02-09 06:00:00
1581224400000,10091.85,10114.25,10040.0,10099.99,2139.40433,2020-02-09 05:00:00
1581220800000,10052.66,10131.0,10052.22,10091.27,3942.411537,2020-02-09 04:00:00
1581217200000,9938.86,10052.67,9937.92,10052.63,4894.060253,2020-02-09 03:00:00
1581210000000,9937.05,9944.25,9909.56,9938.9,957.502674,2020-02-09 01:00:00
1581206400000,9895.04,9947.5,9880.75,9936.95,1430.944116,2020-02-09 00:00:00
1581202800000,9913.26,9923.0,9892.5,9895.05,832.750529,2020-02-08 23:00:00
1581199200000,9913.02,9929.5,9840.0,9913.26,1764.704039,2020-02-08 22:00:00
1581195600000,9857.73,9940.0,9856.73,9914.67,2629.675498,2020-02-08 21:00:00
1581192000000,9862.15,9870.0,9845.39,9856.87,783.495639,2020-02-08 20:00:00
1581188400000,9841.97,9869.43,9841.27,9862.69,1207.113577,2020-02-08 19:00:00
1581184800000,9862.52,9869.51,9810.62,9841.76,1424.273633,2020-02-08 18:00:00
1581181200000,9858.33,9888.0,9840.49,9862.19,2313.30564,2020-02-08 17:00:00
1581177600000,9829.5,9871.0,9810.1,9858.41,2098.288877,2020-02-08 16:00:00
1581174000000,9842.11,9850.0,9817.17,9829.47,1241.510737,2020-02-08 15:00:00
1581170400000,9793.5,9849.0,9783.25,9840.99,2861.355062,2020-02-08 14:00:00
1581166800000,9810.15,9866.0,9750.0,9793.51,4103.538415,2020-02-08 13:00:00
1581163200000,9810.02,9829.99,9801.15,9810.15,1644.463558,2020-02-08 12:00:00
1581159600000,9794.91,9817.89,9785.35,9810.02,1180.597643,2020-02-08 11:00:00
1581156000000,9809.3,9845.0,9791.0,9796.28,2099.544663,2020-02-08 10:00:00
1581152400000,9805.2,9821.5,9780.0,9809.31,1231.292594,2020-02-08 09:00:00
1581148800000,9771.39,9821.0,9769.51,9805.49,2088.216645,2020-02-08 08:00:00
1581145200000,9762.97,9779.09,9754.92,9771.39,1183.518217,2020-02-08 07:00:00
1581141600000,9761.0,9796.88,9751.81,9762.97,1539.303468,2020-02-08 06:00:00
1581138000000,9757.32,9780.0,9735.15,9760.99,1771.525738,2020-02-08 05:00:00
1581134400000,9714.14,9765.0,9700.02,9757.11,1402.87205,2020-02-08 04:00:00
1581130800000,9729.08,9729.73,9667.11,9714.11,2877.070271,2020-02-08 03:00:00
1581127200000,9786.42,9790.86,9706.74,9729.08,2399.532675,2020-02-08 02:00:00
1581123600000,9790.0,9795.4,9760.0,9786.43,1394.706821,2020-02-08 01:00:00
1581120000000,9813.87,9830.06,9769.81,9790.0,1528.187677,2020-02-08 00:00:00
1581116400000,9810.64,9831.0,9791.23,9813.73,1131.894499,2020-02-07 23:00:00
1581112800000,9758.98,9819.0,9757.82,9810.88,976.169867,2020-02-07 22:00:00
1581109200000,9740.6,9778.0,9730.0,9759.0,1916.995182,2020-02-07 21:00:00
1581105600000,9775.08,9778.88,9740.0,9741.49,1772.806195,2020-02-07 20:00:00
1581102000000,9799.38,9802.14,9765.0,9775.59,1067.391477,2020-02-07 19:00:00
1581098400000,9781.03,9809.96,9780.0,9799.35,898.015116,2020-02-07 18:00:00
1581094800000,9798.35,9810.0,9780.0,9781.03,1217.279652,2020-02-07 17:00:00
1581091200000,9802.01,9836.27,9764.0,9798.39,2337.835603,2020-02-07 16:00:00
1581087600000,9823.29,9834.99,9781.1,9802.02,1653.146639,2020-02-07 15:00:00
1581084000000,9782.84,9845.0,9780.0,9823.22,2326.394536,2020-02-07 14:00:00
1581080400000,9756.42,9800.0,9754.28,9782.04,1310.814879,2020-02-07 13:00:00
1581076800000,9810.01,9827.55,9730.54,9755.88,3309.64452,2020-02-07 12:00:00
1581073200000,9816.35,9885.0,9802.67,9809.33,4225.580938,2020-02-07 11:00:00
